iter	Passed	Remaining
162	484	2490
163	486	2480
164	488	2474
165	494	2486
166	497	2482
167	502	2486
168	503	2477
169	510	2492
170	517	2506
171	518	2497
172	520	2490
173	524	2488
174	527	2484
175	529	2478
176	530	2467
177	531	2456
178	534	2449
179	537	2447
180	540	2444
181	542	2437
182	543	2426
183	544	2415
184	545	2404
185	550	2410
186	552	2403
187	554	2393
188	556	2389
189	558	2379
190	559	2369
191	560	2360
192	565	2365
193	568	2361
194	569	2352
195	571	2345
196	572	2335
197	574	2326
198	575	2316
199	577	2308
200	582	2315
201	584	2307
202	585	2298
203	586	2289
204	587	2280
205	589	2270
206	590	2262
207	592	2256
208	595	2252
209	596	2244
210	599	2242
211	601	2234
212	602	2226
213	603	2217
214	605	2208
215	610	2215
216	612	2211
217	615	2207
218	616	2200
219	618	2191
220	619	2184
221	624	2188
222	626	2183
223	628	2177
224	631	2174
225	632	2166
226	633	2158
227	634	2150
228	636	2143
229	638	2136
230	642	2139
231	644	2132
232	645	2125
233	646	2117
234	647	2109
235	649	2101
236	651	2096
237	653	2091
238	655	2088
239	657	2081
240	659	2077
241	661	2070
242	662	2063
243	663	2055
244	669	2063
245	672	2059
246	674	2055
247	675	2049
248	677	2042
249	678	2035
250	680	2029
251	682	2025
252	683	2018
253	686	2015
254	687	2008
255	688	2001
256	689	1994
257	691	1987
258	692	1980
259	694	1976
260	699	1980
261	700	1974
262	702	1967
263	703	1961
264	704	1954
265	706	1948
266	709	1948
267	712	1945
268	714	1941
269	717	1939
270	718	1933
271	719	1926
272	721	1920
273	730	1936
274	732	1930
275	734	1927
276	736	1921
277	739	1919
278	740	1914
279	743	1910
280	744	1904
281	745	1898
282	746	1891
283	747	1885
284	749	1879
285	750	1872
286	751	1866
287	753	1862
288	755	1858
289	757	1855
290	760	1853
291	763	1851
292	767	1851
293	769	1846
294	770	1841
295	771	1835
296	772	1829
297	773	1823
298	775	1817
299	776	1811
300	777	1806
301	779	1802
302	782	1799
303	784	1797
304	786	1792
305	787	1787
306	789	1782
307	794	1785
308	797	1782
309	799	1779
310	801	1774
311	802	1769
312	803	1763
313	804	1757
314	811	1763
315	813	1760
316	814	1754
317	815	1749
318	817	1744
319	818	1738
320	819	1733
321	821	1729
322	824	1728
323	826	1724
324	829	1722
325	830	1717
326	832	1712
327	836	1713
328	839	1712
329	841	1707
330	842	1703
331	844	1698
332	845	1693
333	846	1687
334	851	1689
335	853	1686
336	854	1681
337	856	1678
338	858	1673
339	859	1668
340	860	1663
341	862	1658
342	863	1654
343	866	1651
344	870	1651
345	871	1647
346	872	1642
347	874	1637
348	875	1632
349	876	1627
350	878	1625
351	881	1622
352	883	1619
353	885	1616
354	886	1611
355	888	1606
356	889	1602
357	894	1604
358	897	1602
359	901	1602
360	903	1598
361	904	1593
362	905	1589
363	910	1591
364	913	1589
365	914	1584
366	916	1580
367	917	1576
368	919	1571
369	920	1567
370	922	1563
371	927	1566
372	929	1561
373	930	1557
374	931	1552
375	932	1548
376	934	1543
377	935	1539
378	937	1535
379	941	1535
380	943	1533
381	945	1529
382	947	1525
383	948	1522
384	950	1518
385	957	1522
386	960	1521
387	963	1519
388	965	1515
389	971	1518
390	973	1516
391	977	1515
392	979	1512
393	980	1508
394	982	1505
395	984	1501
396	986	1498
397	987	1494
398	989	1490
399	990	1486
400	992	1482
401	993	1477
402	994	1473
403	996	1470
404	998	1467
405	1001	1465
406	1003	1462
407	1005	1458
408	1006	1454
409	1008	1451
410	1009	1447
411	1015	1449
412	1017	1446
413	1019	1443
414	1021	1439
415	1031	1448
416	1034	1446
417	1036	1442
418	1038	1439
419	1041	1438
420	1044	1436
421	1045	1432
422	1047	1428
423	1048	1424
424	1049	1420
425	1050	1416
426	1052	1412
427	1055	1410
428	1058	1408
429	1060	1405
430	1062	1402
431	1063	1398
432	1064	1394
433	1077	1404
434	1079	1402
435	1081	1399
436	1087	1400
437	1090	1398
438	1091	1395
439	1094	1392
440	1095	1388
441	1096	1384
442	1102	1386
443	1106	1385
444	1107	1381
445	1109	1377
446	1110	1374
447	1112	1370
448	1115	1368
